,N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PERCISION,F1,RECALL_WO_O,PERCISION_WO_O,F1_WO_O
0,Model1,800,3,2,0.9031905859517166,0.896242263979532,0.8921849003094434,0.5644391408114559,0.8879756660963305,0.6817798007419922
1,Model2,800,3,2,0.9086497634356424,0.9043892300770585,0.8976814039811761,0.5775656324582339,0.9102181236131318,0.6948089090213044
2,Model3,800,3,2,0.9079218731044523,0.901112216491619,0.9006197542753908,0.5984486873508353,0.8556413682901621,0.7007933179966559
3,Model4,800,3,2,0.9087710784908407,0.9084234891799954,0.8963624697664697,0.5614558472553699,0.9327818323205832,0.6895043105012897
4,Model5,800,3,2,0.9153220914715516,0.9151056828470349,0.9051718500529101,0.5930787589498807,0.9350705711889059,0.7172858282189929
5,Model6,800,3,2,0.9301225282057504,0.9274226713178686,0.9237208706970964,0.6885441527446301,0.9350866585466399,0.7824691363503871
6,Model7,800,3,2,0.9159286667475434,0.9127527346937383,0.9054681850290777,0.6073985680190931,0.9249940755624619,0.7191648086053156
7,Model8,800,3,2,0.9190828581827005,0.9176144125318393,0.9104649964941306,0.6211217183770883,0.9450390990652151,0.7412366369493498
8,Model9,800,3,2,0.9323061991993207,0.9311141741068044,0.9262914992048623,0.6867541766109785,0.9494115196922146,0.7893684698672879
